"","num_id","s_id","Turbidity","Nitrogen","dominant_landcover","Longitude","lat","E.Coli","Phosphorus","period","Trend","percent_annual_change"
"207",207,"EBOP-00049",120,119,"Exotic forest",176.800003428746,-38.0400378942047,120,120,"2008-2017","Indeterminate","0-1% worsening"
"208",208,"EBOP-00050",120,120,"Exotic forest",176.766690971962,-37.9414091255637,120,120,"2008-2017","Improving","1-2% improving"
"209",209,"EBOP-00053",120,120,"Native",176.747577277343,-38.4798169932264,120,120,"2008-2017","Indeterminate","0-1% worsening"
"210",210,"EBOP-00057",113,113,"Pastoral",176.363800997398,-37.7934217549296,111,113,"2008-2017","Indeterminate","0-1% worsening"
"211",211,"ECAN-00001",40,40,"Pastoral",169.97260986077,-44.4586301907871,40,40,"2008-2017","Improving",">2% improving"
"212",212,"ECAN-00002",40,40,"Pastoral",170.037831854473,-44.4652166189312,40,40,"2008-2017","Indeterminate","0-1% worsening"
"213",213,"ECAN-00003",39,39,"Pastoral",170.680355669389,-44.5092472731712,39,39,"2008-2017","Indeterminate","0-1% worsening"
"214",214,"ECAN-00007",38,38,"Pastoral",170.07036660935,-44.3045802099325,38,38,"2008-2017","Worsening",">2% worsening"
"215",215,"ECAN-00008",40,40,"Pastoral",170.675748147957,-44.5088735237057,40,40,"2008-2017","Indeterminate","0-1% worsening"
"216",216,"ECAN-00010",40,40,"Pastoral",170.635451651469,-44.5979984596371,40,40,"2008-2017","Improving",">2% improving"
"217",217,"ECAN-00014",40,84,"Pastoral",171.737127472654,-43.9094403266989,40,40,"2008-2017","Indeterminate","0-1% worsening"
"220",220,"ECAN-00014",40,40,"Pastoral",171.737127472654,-43.9094403266989,40,40,"2008-2017","Indeterminate","0-1% worsening"
"221",221,"ECAN-00018",40,83,"Pastoral",171.69993636481,-43.8677111385422,40,40,"2008-2017","Indeterminate",">2% improving"
"223",223,"ECAN-00018",40,40,"Pastoral",171.69993636481,-43.8677111385422,40,40,"2008-2017","Indeterminate",">2% improving"
"225",225,"ECAN-00020",40,84,"Native",171.531915388712,-43.6052262197146,40,40,"2008-2017","Improving",">2% improving"
"228",228,"ECAN-00020",40,40,"Native",171.531915388712,-43.6052262197146,40,40,"2008-2017","Improving",">2% improving"
"230",230,"ECAN-00025",38,82,"Native",171.402060520044,-44.0514690044789,38,38,"2008-2017","Indeterminate",">2% improving"
"231",231,"ECAN-00025",38,38,"Native",171.402060520044,-44.0514690044789,38,38,"2008-2017","Indeterminate",">2% improving"
"233",233,"ECAN-00026",39,83,"Native",171.300230031093,-43.9746259221782,39,39,"2008-2017","Indeterminate",">2% improving"
"235",235,"ECAN-00026",39,39,"Native",171.300230031093,-43.9746259221782,39,39,"2008-2017","Indeterminate",">2% improving"
"237",237,"ECAN-00027",40,40,"Pastoral",171.263151275896,-44.2107304916504,40,40,"2008-2017","Indeterminate",">2% improving"
"238",238,"ECAN-00028",40,40,"Pastoral",171.300172253989,-44.2492480160812,40,40,"2008-2017","Indeterminate","0-1% improving"
"239",239,"ECAN-00034",40,40,"Pastoral",171.267726230644,-44.2447220444745,40,40,"2008-2017","Worsening",">2% worsening"
"240",240,"ECAN-00036",40,40,"Pastoral",171.26409994899,-44.1263316329346,40,40,"2008-2017","Improving",">2% improving"
"241",241,"ECAN-00038",40,75,"Pastoral",171.165279198619,-44.003454195601,40,40,"2008-2017","Indeterminate","0-1% worsening"
"243",243,"ECAN-00038",40,40,"Pastoral",171.165279198619,-44.003454195601,40,40,"2008-2017","Indeterminate","0-1% worsening"
"245",245,"ECAN-00040",40,83,"Pastoral",171.113256294587,-44.2454206898098,40,40,"2008-2017","Improving",">2% improving"
"247",247,"ECAN-00040",40,40,"Pastoral",171.113256294587,-44.2454206898098,40,40,"2008-2017","Improving",">2% improving"
"250",250,"ECAN-00042",40,40,"Pastoral",171.242543638779,-44.4177342512918,40,40,"2008-2017","Indeterminate","1-2% worsening"
"252",252,"ECAN-00042",40,81,"Pastoral",171.242543638779,-44.4177342512918,40,40,"2008-2017","Indeterminate","1-2% worsening"
"253",253,"ECAN-00045",40,40,"Pastoral",171.623898622515,-44.0944101852213,40,40,"2008-2017","Indeterminate",">2% improving"
"254",254,"ECAN-00046",39,39,"Pastoral",171.407107296736,-44.2266548354215,39,39,"2008-2017","Improving",">2% improving"
"256",256,"ECAN-00047",40,78,"Pastoral",171.157808820684,-44.779291232169,40,40,"2008-2017","Indeterminate","0-1% worsening"
"257",257,"ECAN-00047",40,40,"Pastoral",171.157808820684,-44.779291232169,40,40,"2008-2017","Indeterminate","0-1% worsening"
"259",259,"ECAN-00049",40,78,"Pastoral",170.975732062332,-44.8004907905164,40,40,"2008-2017","Improving",">2% improving"
"261",261,"ECAN-00049",40,40,"Pastoral",170.975732062332,-44.8004907905164,40,40,"2008-2017","Improving",">2% improving"
"263",263,"ECAN-00050",40,40,"Pastoral",171.111039851352,-44.0414907600603,40,40,"2008-2017","Indeterminate","0-1% worsening"
"266",266,"ECAN-00050",40,75,"Pastoral",171.111039851352,-44.0414907600603,40,40,"2008-2017","Indeterminate","0-1% worsening"
"267",267,"ECAN-00052",40,40,"Pastoral",171.386471526344,-44.23991791893,40,40,"2008-2017","Improving",">2% improving"
"268",268,"ECAN-00054",40,40,"Pastoral",170.965024523406,-44.8714621235595,40,40,"2008-2017","Indeterminate",">2% improving"
"269",269,"ECAN-00055",40,40,"Pastoral",171.122407033515,-44.8990637612956,40,40,"2008-2017","Indeterminate",">2% improving"
"271",271,"ECAN-00057",40,80,"Pastoral",171.152927936881,-44.775299259458,39,40,"2008-2017","Indeterminate","1-2% improving"
"272",272,"ECAN-00057",40,40,"Pastoral",171.152927936881,-44.775299259458,39,40,"2008-2017","Indeterminate","1-2% improving"
"274",274,"ECAN-00058",40,40,"Pastoral",171.160595588886,-44.7491637287718,40,40,"2008-2017","Indeterminate",">2% worsening"
"276",276,"ECAN-00058",40,84,"Pastoral",171.160595588886,-44.7491637287718,40,40,"2008-2017","Indeterminate",">2% worsening"
"279",279,"ECAN-00059",40,84,"Pastoral",171.147463669756,-44.676219384773,40,40,"2008-2017","Improving",">2% improving"
"281",281,"ECAN-00059",40,40,"Pastoral",171.147463669756,-44.676219384773,40,40,"2008-2017","Improving",">2% improving"
"282",282,"ECAN-00061",40,40,"Pastoral",171.161980549097,-44.66567334906,40,40,"2008-2017","Worsening",">2% worsening"
"283",283,"ECAN-00065",40,40,"Pastoral",171.48038072041,-44.1521394317988,40,40,"2008-2017","Indeterminate","0-1% worsening"
"284",284,"ECAN-00069",39,39,"Pastoral",171.392203417177,-44.2376838380753,39,39,"2008-2017","Indeterminate","0-1% worsening"
"285",285,"ECAN-00070",40,40,"Pastoral",172.778902409394,-43.1278556876126,40,40,"2008-2017","Improving",">2% improving"
"286",286,"ECAN-00071",40,40,"Pastoral",172.688643244653,-43.2768062568577,40,40,"2008-2017","Indeterminate","0-1% worsening"
"287",287,"ECAN-00072",40,39,"Pastoral",172.685238090453,-43.2896147661457,40,39,"2008-2017","Improving",">2% improving"
"288",288,"ECAN-00079",39,40,"Urban area",172.633582896797,-43.3755662320732,40,40,"2008-2017","Improving",">2% improving"
"289",289,"ECAN-00080",39,40,"Pastoral",172.636995868154,-43.3433798406977,40,40,"2008-2017","Improving",">2% improving"
"290",290,"ECAN-00081",39,40,"Pastoral",172.628944313269,-43.3713477143546,40,40,"2008-2017","Improving",">2% improving"
"291",291,"ECAN-00082",39,40,"Pastoral",172.632388817505,-43.375094336142,40,40,"2008-2017","Improving",">2% improving"
"292",292,"ECAN-00083",39,40,"Pastoral",172.634987595777,-43.4355719666396,40,40,"2008-2017","Improving",">2% improving"
"293",293,"ECAN-00084",118,118,"Pastoral",172.682471176573,-43.7564465437555,117,118,"2008-2017","Improving",">2% improving"
"296",296,"ECAN-00084",118,246,"Pastoral",172.682471176573,-43.7564465437555,117,118,"2008-2017","Improving",">2% improving"
"299",299,"ECAN-00085",119,119,"Pastoral",172.450465285704,-43.6949641019916,118,119,"2008-2017","Improving",">2% improving"
"302",302,"ECAN-00085",119,247,"Pastoral",172.450465285704,-43.6949641019916,118,119,"2008-2017","Improving",">2% improving"
"306",306,"ECAN-00086",119,247,"Pastoral",172.412879877624,-43.6961208124405,40,119,"2008-2017","Indeterminate","0-1% worsening"
"308",308,"ECAN-00086",119,119,"Pastoral",172.412879877624,-43.6961208124405,40,119,"2008-2017","Indeterminate","0-1% worsening"
"309",309,"ECAN-00088",40,40,"Pastoral",171.892979599221,-43.4613200496167,40,40,"2008-2017","Indeterminate",">2% improving"
"310",310,"ECAN-00088",40,80,"Pastoral",171.892979599221,-43.4613200496167,40,40,"2008-2017","Indeterminate",">2% improving"
"313",313,"ECAN-00091",40,40,"Pastoral",172.357850610569,-43.7655389544849,40,40,"2008-2017","Indeterminate",">2% worsening"
"315",315,"ECAN-00092",40,82,"Pastoral",172.353396919037,-43.770923575964,40,40,"2008-2017","Improving",">2% improving"
"317",317,"ECAN-00092",40,40,"Pastoral",172.353396919037,-43.770923575964,40,40,"2008-2017","Improving",">2% improving"
"318",318,"ECAN-00093",119,247,"Pastoral",172.338616315238,-43.797229959112,118,119,"2008-2017","Improving",">2% improving"
"321",321,"ECAN-00093",119,119,"Pastoral",172.338616315238,-43.797229959112,118,119,"2008-2017","Improving",">2% improving"
"322",322,"ECAN-00094",40,40,"Native",172.043162895121,-43.7397025223503,40,40,"2008-2017","Indeterminate",">2% improving"
